a1,George Washington,1790,,,,,,
a2,  George Washington,1790,,,,,,
a3,  George Washington,1791,,,,,,
a4,  George Washington,1792,,,,,,
a5,  George Washington,1793,,,,,,
a6,  George Washington,1794,,,,,,
a7,  George Washington,1795,,,,,,
a8,  George Washington,1796,,,,,,
a9,  John Adams,1797,,,,,,
a10,  John Adams,1798,,,,,,
a11,  John Adams,1799,,,,,,
a12,  John Adams,1800,,,,,,
a13,  Thomas Jefferson,1801,,,,,,
a14,  Thomas Jefferson,1802,,,,,,
a15,  Thomas Jefferson,1803,,,,,,
a16,  Thomas Jefferson,1804,,,,,,
a17,  Thomas Jefferson,1805,,,,,,
a18,  Thomas Jefferson,1806,,,,,,
a19,  Thomas Jefferson,1807,,,,,,
a20,  Thomas Jefferson,1808,,,,,,
a21,  James Madison,1809,,,,,,
a22,  James Madison,1810,,,,,,
a23,  James Madison,1811,,,,,,
a24,  James Madison,1812,,,,,,
a25,  James Madison,1813,,,,,,
a26,  James Madison,1814,,,,,,
a27,  James Madison,1815,,,,,,
a28,  James Madison,1816,,,,,,
a29,  James Monroe,1817,,,,,,
a30,  James Monroe,1818,,,,,,
a31,  James Monroe,1819,,,,,,
a32,  James Monroe,1820,,,,,,
a33,  James Monroe,1821,,,,,,
a34,  James Monroe,1822,,,,,,
a35,  James Monroe,1823,,,,,,
a36,  James Monroe,1824,,,,,,
a37,  John Quincy Adams,1825,,,,,,
a38,  John Quincy Adams,1826,,,,,,
a39,  John Quincy Adams,1827,,,,,,
a40,  John Quincy Adams,1828,,,,,,
a41,  Andrew Jackson,1829,,,,,,
a42,  Andrew Jackson,1830,,,,,,
a43,  Andrew Jackson,1831,,,,,,
a44,  Andrew Jackson,1832,,,,,,
a45,  Andrew Jackson,1833,,,,,,
a46,  Andrew Jackson,1834,,,,,,
a47,  Andrew Jackson,1835,,,,,,
a48,  Andrew Jackson,1836,,,,,,
a49,  Martin van Buren,1837,,,,,,
a50,  Martin van Buren,1838,,,,,,
a51,  Martin van Buren,1839,,,,,,
a52,  Martin van Buren,1840,,,,,,
a53,  John Tyler,1841,,,,,,
a54,  John Tyler,1842,,,,,,
a55,  John Tyler,1843,,,,,,
a56,  John Tyler,1844,,,,,,
a57,  James Polk,1845,,,,,,
a58,  James Polk,1846,,,,,,
a59,  James Polk,1847,,,,,,
a60,  James Polk,1848,,,,,,
a61,  Zachary Taylor,1849,,,,,,
a62,  Millard Fillmore,1850,,,,,,
a63,  Millard Fillmore,1851,,,,,,
a64,  Millard Fillmore,1852,,,,,,
a65,  Franklin Pierce,1853,,,,,,
a66,  Franklin Pierce,1854,,,,,,
a67,  Franklin Pierce,1855,,,,,,
a68,  Franklin Pierce,1856,,,,,,
a69,  James Buchanan,1857,,,,,,
a70,  James Buchanan,1858,,,,,,
a71,  James Buchanan,1859,,,,,,
a72,  James Buchanan,1860,,,,,,
a73,  Abraham Lincoln,1861,,,,,,
a74,  Abraham Lincoln,1862,,,,,,
a75,  Abraham Lincoln,1863,,,,,,
a76,  Abraham Lincoln,1864,,,,,,
a77,  Andrew Johnson,1865,,,,,,
a78,  Andrew Johnson,1866,,,,,,
a79,  Andrew Johnson,1867,,,,,,
a80,  Andrew Johnson,1868,,,,,,
a81,  Ulysses S. Grant,1869,,,,,,
a82,  Ulysses S. Grant,1870,,,,,,
a83,  Ulysses S. Grant,1871,,,,,,
a84,  Ulysses S. Grant,1872,,,,,,
a85,  Ulysses S. Grant,1873,,,,,,
a86,  Ulysses S. Grant,1874,,,,,,
a87,  Ulysses S. Grant,1875,,,,,,
a88,  Ulysses S. Grant,1876,,,,,,
a89,  Rutherford B. Hayes,1877,,,,,,
a90,  Rutherford B. Hayes,1878,,,,,,
a91,  Rutherford B. Hayes,1879,,,,,,
a92,  Rutherford B. Hayes,1880,,,,,,
a93,  Chester A. Arthur,1881,,,,,,
a94,  Chester A. Arthur,1882,,,,,,
a95,  Chester A. Arthur,1883,,,,,,
a96,  Chester A. Arthur,1884,,,,,,
a97,  Grover Cleveland,1885,,,,,,
a98,  Grover Cleveland,1886,,,,,,
a99,  Grover Cleveland,1887,,,,,,
a100,  Grover Cleveland,1888,,,,,,
a101,  Benjamin Harrison,1889,,,,,,
a102,  Benjamin Harrison,1890,,,,,,
a103,  Benjamin Harrison,1891,,,,,,
a104,  Benjamin Harrison,1892,,,,,,
a105,  Grover Cleveland,1893,,,,,,
a106,  Grover Cleveland,1894,,,,,,
a107,  Grover Cleveland,1895,,,,,,
a108,  Grover Cleveland,1896,,,,,,
a109,  William McKinley,1897,,,,,,
a110,  William McKinley,1898,,,,,,
a111,  William McKinley,1899,,,,,,
a112,  William McKinley,1900,,,,,,
a113,  Theodore Roosevelt,1901,,,,,,
a114,  Theodore Roosevelt,1902,,,,,,
a115,  Theodore Roosevelt,1903,,,,,,
a116,  Theodore Roosevelt,1904,,,,,,
a117,  Theodore Roosevelt,1905,,,,,,
a118,  Theodore Roosevelt,1906,,,,,,
a119,  Theodore Roosevelt,1907,,,,,,
a120,  Theodore Roosevelt,1908,,,,,,
a121,  William H. Taft,1909,,,,,,
a122,  William H. Taft,1910,,,,,,
a123,  William H. Taft,1911,,,,,,
a124,  William H. Taft,1912,,,,,,
a125,  Woodrow Wilson,1913,,,,,,
a126,  Woodrow Wilson,1914,,,,,,
a127,  Woodrow Wilson,1915,,,,,,
a128,  Woodrow Wilson,1916,,,,,,
a129,  Woodrow Wilson,1917,,,,,,
a130,  Woodrow Wilson,1918,,,,,,
a131,  Woodrow Wilson,1919,,,,,,
a132,  Woodrow Wilson,1920,,,,,,
a133,  Warren Harding,1921,,,,,,
a134,  Warren Harding,1922,,,,,,
a135,  Calvin Coolidge,1923,,,,,,
a136,  Calvin Coolidge,1924,,,,,,
a137,  Calvin Coolidge,1925,,,,,,
a138,  Calvin Coolidge,1926,,,,,,
a139,  Calvin Coolidge,1927,,,,,,
a140,  Calvin Coolidge,1928,,,,,,
a141,  Herbert Hoover,1929,,,,,,
a142,  Herbert Hoover,1930,,,,,,
a143,  Herbert Hoover,1931,,,,,,
a144,  Herbert Hoover,1932,,,,,,
a145,  Franklin D. Roosevelt,1934,,,,,,
a146,  Franklin D. Roosevelt,1935,,,,,,
a147,  Franklin D. Roosevelt,1936,,,,,,
a148,  Franklin D. Roosevelt,1937,,,,,,
a149,  Franklin D. Roosevelt,1938,,,,,,
a150,  Franklin D. Roosevelt,1939,,,,,,
a151,  Franklin D. Roosevelt,1940,,,,,,
a152,  Franklin D. Roosevelt,1941,,,,,,
a153,  Franklin D. Roosevelt,1942,,,,,,
a154,  Franklin D. Roosevelt,1943,,,,,,
a155,  Franklin D. Roosevelt,1944,,,,,,
a156,  Franklin D. Roosevelt,1945,,,,,,
a157,  Harry S. Truman,1946,,,,,,
a158,  Harry S. Truman,1947,,,,,,
a159,  Harry S. Truman,1948,,,,,,
a160,  Harry S. Truman,1949,,,,,,
a161,  Harry S. Truman,1950,,,,,,
a162,  Harry S. Truman,1951,,,,,,
a163,  Harry S. Truman,1952,,,,,,
a164,  Harry S. Truman,1953,,,,,,
a165,  Dwight D. Eisenhower,1953,,,,,,
a166,  Dwight D. Eisenhower,1954,,,,,,
a167,  Dwight D. Eisenhower,1955,,,,,,
a168,  Dwight D. Eisenhower,1956,,,,,,
a169,  Dwight D. Eisenhower,1957,,,,,,
a170,  Dwight D. Eisenhower,1958,,,,,,
a171,  Dwight D. Eisenhower,1959,,,,,,
a172,  Dwight D. Eisenhower,1960,,,,,,
a173,  Dwight D. Eisenhower,1961,,,,,,
a174,  John F. Kennedy,1961,,,,,,
a175,  John F. Kennedy,1962,,,,,,
a176,  John F. Kennedy,1963,,,,,,
a177,  Lyndon B. Johnson,1964,,,,,,
a178,  Lyndon B. Johnson,1965,,,,,,
a179,  Lyndon B. Johnson,1966,,,,,,
a180,  Lyndon B. Johnson,1967,,,,,,
a181,  Lyndon B. Johnson,1968,,,,,,
a182,  Lyndon B. Johnson,1969,,,,,,
a183,  Richard Nixon,1970,,,,,,
a184,  Richard Nixon,1971,,,,,,
a185,  Richard Nixon,1972,,,,,,
a186,  Richard Nixon,1973,,,,,,
a187,  Richard Nixon,1974,,,,,,
a188,  Gerald R. Ford,1975,,,,,,
a189,  Gerald R. Ford,1976,,,,,,
a190,  Gerald R. Ford,1977,,,,,,
a191,  Jimmy Carter,1978,,,,,,
a192,  Jimmy Carter,1979,,,,,,
a193,  Jimmy Carter,1980,,,,,,
a194,  Jimmy Carter,1981,,,,,,
a195,  Ronald Reagan,1982,,,,,,
a196,  Ronald Reagan,1983,,,,,,
a197,  Ronald Reagan,1984,,,,,,
a198,  Ronald Reagan,1985,,,,,,
a199,  Ronald Reagan,1986,,,,,,
a200,  Ronald Reagan,1987,,,,,,
a201,  Ronald Reagan,1988,,,,,,
a202,  George H.W. Bush,1989,,,,,,
a203,  George H.W. Bush,1990,,,,,,
a204,  George H.W. Bush,1991,,,,,,
a205,  George H.W. Bush,1992,,,,,,
a206,  William J. Clinton,1993,,,,,,
a207,  William J. Clinton,1994,,,,,,
a208,  William J. Clinton,1995,,,,,,
a209,  William J. Clinton,1996,,,,,,
a210,  William J. Clinton,1997,,,,,,
a211,  William J. Clinton,1998,,,,,,
a212,  William J. Clinton,1999,,,,,,
a213,  William J. Clinton,2000,,,,,,
a214,  George W. Bush,2001,,,,,,
a215,  George W. Bush,2001,,,,,,
a216,  George W. Bush,2002,,,,,,
a217,  George W. Bush,2003,,,,,,
a218,  George W. Bush,2004,,,,,,
a219,  George W. Bush,2005,,,,,,
a220,  George W. Bush,2006,,,,,,
a221,  George W. Bush,2007,,,,,,
a222,  George W. Bush,2008,,,,,,
a223,  Barack Obama,2009,,,,,,
a224,  Barack Obama,2010,,,,,,
a225,  Barack Obama,2011,,,,,,
a226,  Barack Obama,2012,,,,,,
a227,  Barack Obama,2013,,,,,,
a228,  Barack Obama,2014,,,,,,